id,species_ori,vernacularName,scientificName,taxonRank,type,source_latest_only,species_code_ntu,species_nr,statusTW
1,無法調查,無法調查,No survey,nonAves,NA,NA,NOSURVEY,853,NA
2,沒有鳥,NN,NA,nonAves,NA,NA,NA,855,NA
3,NN,NN,NA,nonAves,NA,NA,NA,855,NA
4,M_山羌,山羌,Muntiacus reevesi micrurus,nonAves,NA,NA,NA,838,NA
5,M_台灣野兔,臺灣野兔,Lepus sinensis formosus,nonAves,NA,NA,NA,840,NA
6,M_台灣獼猴,臺灣獼猴,Macaca cyclopis,nonAves,NA,NA,NA,841,NA
7,M_赤腹松鼠,赤腹松鼠,Callosciurus erythraeus thaiwanensis,nonAves,NA,NA,NA,842,NA
8,M_黃喉貂,黃喉貂,Martes flavigula chrysospila,nonAves,NA,NA,NA,847,NA
9,M_長吻松鼠,長吻松鼠,Dremomys pernyi owstoni,nonAves,NA,NA,NA,843,NA
10,蝙蝠,翼手目,Chiroptera sp.,nonAves,NA,NA,NA,848,NA
11,台灣野兔,臺灣野兔,Lepus sinensis formosus,nonAves,NA,NA,NA,840,NA
12,黃喉貂,黃喉貂,Martes flavigula chrysospila,nonAves,NA,NA,NA,847,NA
13,XX,鳥綱,Aves sp.,class,NA,NA,NA,749,NA
14,XX八哥,八哥科,Sturnidae,family,NA,NA,NA,650,NA
15,XX文鳥,梅花雀科,Estrildidae,family,NA,NA,NA,739,NA
16,XX白鷺,鷺科,Ardeidae,family,NA,NA,NA,101,NA
17,XX伯勞,伯勞科,Laniidae,family,NA,NA,NA,405,NA
18,XX卷尾,卷尾科,Dicruridae,family,NA,NA,NA,418,NA
19,XX林鴝,林鴝屬,Tarsiger sp.,genus,NA,NA,NA,763,NA
20,XX雨燕,雨燕科,Apodidae,family,NA,NA,NA,354,NA
21,XX柳鶯,柳鶯科,Phylloscopidae,family,NA,NA,NA,495,NA
22,XX扇尾鶯科,扇尾鶯科,Cisticolidae,family,NA,NA,NA,541,NA
23,XX秧雞,秧雞科,Rallidae,family,NA,NA,NA,161,NA
24,XX針尾雨燕,針尾雨燕屬,Hirundapus sp.,genus,NA,NA,NA,766,NA
25,XX隼,隼科,Falconidae,family,NA,NA,NA,385,NA
26,XX啄木,啄木鳥科,Picidae,family,NA,NA,NA,380,NA
27,XX啄花,啄花科,Dicaeidae,family,NA,NA,NA,665,NA
28,XX猛禽,日行性猛禽,Accipitriformes/Falconiformes sp.,class,NA,NA,NA,748,NA
29,XX雀鷹,雀鷹屬,Accipiter sp.,genus,NA,NA,NA,768,NA
30,XX雀鷹屬,雀鷹屬,Accipiter sp.,genus,NA,NA,NA,768,NA
31,XX椋鳥,八哥科,Sturnidae,family,NA,NA,NA,650,NA
32,XX畫眉,畫眉科,Timaliidae,family,NA,NA,NA,560,NA
33,XX蛙,無尾目,Anura sp.,nonAves,NA,NA,NA,849,NA
34,XX雁鴨,雁鴨科,Anatidae,family,NA,NA,NA,1,NA
35,XX雲雀,百靈科,Alaudidae,family,NA,NA,NA,441,NA
36,XX鳩,鳩鴿科,Columbidae,family,NA,NA,NA,305,NA
37,XX鳩鴿,鳩鴿科,Columbidae,family,NA,NA,NA,305,NA
38,XX翠鳥,翠鳥科,Alcedinidae,family,NA,NA,NA,361,NA
39,XX蝗鶯屬,蝗鶯屬,Locustella sp.,genus,NA,NA,NA,772,NA
40,XX鴉,鴉科,Corvidae,family,NA,NA,NA,428,NA
41,XX燕,燕科,Hirundinidae,family,NA,NA,NA,446,NA
42,XX鴨,雁鴨科,Anatidae,family,NA,NA,NA,1,NA
43,XX環頸鴴,小型鴴類,Charadrius sp.,genus,NA,NA,NA,758,NA
44,XX鴴,鴴科,Charadriidae,family,NA,NA,NA,189,NA
45,XX鵐,鵐科,Emberizidae,family,NA,NA,NA,699,NA
46,XX鵯,鵯科,Pycnonotidae,family,NA,NA,NA,475,NA
47,XX鶇,鶇科,Turdidae,family,NA,NA,NA,633,NA
48,XX鶯,鶯科,Sylviidae,family,NA,NA,NA,547,NA
49,XX鶺鴒,鶺鴒科,Motacillidae,family,NA,NA,NA,675,NA
50,XX鷚,鷚屬,Anthus sp.,genus,NA,NA,NA,778,NA
51,XX鷦鶯,扇尾鶯科,Cisticolidae,family,NA,NA,NA,541,NA
52,XX鷲鷹,鷹科,Accipitridae,family,NA,NA,NA,133,NA
53,XX鷲鷹科,鷹科,Accipitridae,family,NA,NA,NA,133,NA
54,XX鷸,鷸科,Scolopacidae,family,NA,NA,NA,205,NA
55,XX鷹,鷹科,Accipitridae,family,NA,NA,NA,133,NA
56,XX鷺,鷺科,Ardeidae,family,NA,NA,NA,101,NA
57,XX鸚鵡,鸚形目,Psittaciformes sp.,order,NA,NA,NA,747,introduced
58,九官鳥,九官鳥,Gracula religiosa,species,NA,NA,B0494,837,introduced
59,八色鳥,八色鳥,Pitta nympha,species,NA,NA,B0320,393,breed
60,八哥,八哥,Acridotheres cristatellus,species,NA,NA,B0481,664,breed
61,三趾鷸,三趾濱鷸,Calidris alba,species,NA,NA,B0199,236,nonbreeding
62,叉尾雨燕,叉尾雨燕,Apus pacificus,species,NA,NA,B0305,359,breed
63,大白鷺,大白鷺,Ardea alba,species,NA,NA,B0045,109,breed
64,大杓鷸,大杓鷸,Numenius arquata,species,NA,NA,B0210,221,nonbreeding
65,大杜鵑,大杜鵑,Cuculus canorus,species,NA,NA,B0281,334,nonbreeding
66,大赤啄木,大赤啄木,Dendrocopos leucotos,species,NA,NA,B0317,383,breed
67,大卷尾,大卷尾,Dicrurus macrocercus,species,NA,NA,B0335,419,breed
68,大花鷚,大花鷚,Anthus richardi,species,NA,NA,B0465,683,nonbreeding
69,大冠鷲,大冠鷲,Spilornis cheela,species,NA,NA,B0132,138,breed
70,大紅鸛,大紅鸛,Phoenicopterus roseus,species,NA,NA,NA,781,introduced
71,大陸畫眉,大陸畫眉,Garrulax canorus,speciesComplex,NA,NA,B0574,569,introduced
72,大陸畫眉X台灣畫眉,臺灣畫眉,Garrulax canorus/taewanus,speciesComplex,NA,NA,B0367,787,breed
73,大陸藍鵲,紅嘴藍鵲,Urocissa erythroryncha,species,NA,NA,B0601,803,introduced
74,大麻鷺,大麻鷺,Botaurus stellaris,species,NA,NA,B0041,102,nonbreeding
75,大濱鷸,大濱鷸,Calidris tenuirostris,species,NA,NA,B0198,225,nonbreeding
76,大彎嘴,大彎嘴,Megapomatorhinus erythrocnemis,species,NA,NA,B0373,563,breed
77,小水鴨,小水鴨,Anas crecca,species,NA,NA,B0071,28,nonbreeding
78,小白鷺,小白鷺,Egretta garzetta,species,NA,NA,B0047,113,breed
79,小杜鵑,小杜鵑,Cuculus poliocephalus,species,NA,NA,B0285,332,nonbreeding
80,小卷尾,小卷尾,Dicrurus aeneus,species,NA,NA,B0333,422,breed
81,小卷尾/松雀鷹,鳥綱,Aves sp.,class,NA,NA,NA,749,NA
82,小虎鶇,小虎鶇,Zoothera dauma dauma,species,NA,NA,B0676,783,breed
83,小雨燕,小雨燕,Apus nipalensis,species,NA,NA,B0304,360,breed
84,小青足鷸,小青足鷸,Tringa stagnatilis,species,NA,NA,B0225,215,nonbreeding
85,小桑鳲,小桑鳲,Eophona migratoria,species,NA,NA,B0513,732,nonbreeding
86,小剪尾,小剪尾,Enicurus scouleri,species,NA,NA,B0389,604,breed
87,小啄木,小啄木,Yungipicus canicapillus,species,NA,NA,B0316,382,breed
88,小雲雀,小雲雀,Alauda gulgula,species,NA,NA,B0321,445,breed
89,小黑背鷗,小黑背鷗,Larus fuscus,species,NA,NA,B0624,284,nonbreeding
90,小燕鷗,小燕鷗,Sternula albifrons,species,NA,NA,B0251,292,breed
91,小濱鷸,小濱鷸,Calidris minuta,species,NA,NA,B0232,238,nonbreeding
92,小環頸鴴,小環頸鴴,Charadrius dubius,species,NA,NA,B0180,199,breed
93,小翼鶇,小翼鶇,Brachypteryx goodfellowi,species,NA,NA,B0387,596,breed
94,小鵐,小鵐,Emberiza pusilla,species,NA,NA,B0528,708,nonbreeding
95,小辮鴴,小辮鴴,Vanellus vanellus,species,NA,NA,B0188,192,nonbreeding
96,小鶯,小鶯,Horornis fortipes,species,NA,NA,B0427,493,breed
97,小彎嘴,小彎嘴,Pomatorhinus musicus,species,NA,NA,B0374,562,breed
98,小鷦眉,臺灣鷦眉,Pnoepyga formosana,species,NA,NA,B0372,487,breed
